STATE,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
HARYANA,THEFT,6117,5962,331,6558,8694,10518,6117,5962,331,6558,8694,10518
HIMACHAL PRADESH,THEFT,600,564,6,643,696,812,600,564,6,643,696,812
JAMMU & KASHMIR,THEFT,1919,2020,1,1939,1901,1937,1919,2020,1,1939,1901,1937
JHARKHAND,THEFT,3827,4374,53,4374,6195,6173,3827,4374,53,4374,6195,6173
KARNATAKA,THEFT,12868,13818,21,16093,17008,14901,12868,13818,21,16093,17008,14901
KERALA,THEFT,5441,5743,1267,5240,5454,5431,5441,5743,1267,5240,5454,5431
LAKSHADWEEP,THEFT,10,12,281,5,7,17,10,12,281,5,7,17
MADHYA PRADESH,THEFT,20263,20759,19,22586,20685,21733,20263,20759,19,22586,20685,21733
MAHARASHTRA,THEFT,39866,37606,154,43952,46851,46473,39866,37606,154,43952,46851,46473
MANIPUR,THEFT,217,255,864,244,243,290,217,255,864,244,243,290
MEGHALAYA,THEFT,271,392,861,418,476,470,271,392,861,418,476,470
MIZORAM,THEFT,878,999,634,610,777,758,878,999,634,610,777,758
NAGALAND,THEFT,258,257,0,255,294,327,258,257,0,255,294,327
ODISHA,THEFT,5622,5268,1578,5967,6743,6567,5622,5268,1578,5967,6743,6567
PUDUCHERRY,THEFT,528,526,2096,634,466,466,528,526,2096,634,466,466
PUNJAB,THEFT,3023,2963,6,2587,2924,3946,3023,2963,6,2587,2924,3946
RAJASTHAN,THEFT,16939,16313,133,18842,17898,17889,16939,16313,133,18842,17898,17889
SIKKIM,THEFT,74,64,21,73,81,113,74,64,21,73,81,113
TAMIL NADU,THEFT,16709,18755,92,17530,15851,13651,16709,18755,92,17530,15851,13651
TRIPURA,THEFT,259,270,875,260,325,392,259,270,875,260,325,392
UTTAR PRADESH,THEFT,27011,22419,11,22524,20695,20447,27011,22419,11,22524,20695,20447
UTTARAKHAND,THEFT,1419,1365,108,1597,1630,1696,1419,1365,108,1597,1630,1696
WEST BENGAL,THEFT,14245,12449,655,14465,12124,12532,14245,12449,655,14465,12124,12532
A & N ISLANDS,ROITS,13,11,3,9,4,10,13,11,3,9,4,10
ANDHRA PRADESH,ROITS,3001,2140,514,2540,2026,2916,3001,2140,514,2540,2026,2916
ARUNACHAL PRADESH,ROITS,24,21,69,65,23,6,24,21,69,65,23,6
ASSAM,ROITS,2953,3014,1988,3615,2760,2684,2953,3014,1988,3615,2760,2684
BIHAR,ROITS,8606,8675,160,9793,7671,8259,8606,8675,160,9793,7671,8259
CHANDIGARH,ROITS,91,78,598,43,43,44,91,78,598,43,43,44
CHHATTISGARH,ROITS,871,817,56,790,893,905,871,817,56,790,893,905
D & N HAVELI,ROITS,4,5,56,17,18,8,4,5,56,17,18,8
DAMAN & DIU,ROITS,23,16,9050,19,19,24,23,16,9050,19,19,24
DELHI UT,ROITS,5,5,253,5,1,5,5,5,253,5,1,5
GOA,ROITS,64,79,2606,33,45,63,64,79,2606,33,45,63
GUJARAT,ROITS,1930,3665,2986,1599,1628,1534,1930,3665,2986,1599,1628,1534
HARYANA,ROITS,750,700,204,699,899,1142,750,700,204,699,899,1142
HIMACHAL PRADESH,ROITS,628,646,3621,562,558,566,628,646,3621,562,558,566
JAMMU & KASHMIR,ROITS,1072,996,41,1116,1222,1197,1072,996,41,1116,1222,1197
JHARKHAND,ROITS,2018,2281,41,2281,2524,2650,2018,2281,41,2281,2524,2650
KARNATAKA,ROITS,6686,6838,215,6237,6151,6183,6686,6838,215,6237,6151,6183
KERALA,ROITS,8108,8090,257,6461,6535,6365,8108,8090,257,6461,6535,6365
LAKSHADWEEP,ROITS,1,18,5844,37,6,12,1,18,5844,37,6,12
MADHYA PRADESH,ROITS,3395,3178,2981,2479,2573,2308,3395,3178,2981,2479,2573,2308
MAHARASHTRA,ROITS,6719,6360,707,5980,6779,7453,6719,6360,707,5980,6779,7453
MANIPUR,ROITS,131,64,1526,115,35,60,131,64,1526,115,35,60
MEGHALAYA,ROITS,8,9,1468,2,42,7,8,9,1468,2,42,7
MIZORAM,ROITS,3,1,6055,2,35,0,3,1,6055,2,35,0
NAGALAND,ROITS,2,5,4409,6,8,7,2,5,4409,6,8,7
ODISHA,ROITS,1426,1598,6,1433,1515,1535,1426,1598,6,1433,1515,1535
PUDUCHERRY,ROITS,100,193,12884,147,159,153,100,193,12884,147,159,153
PUNJAB,ROITS,1,2,13892,16,1,3,1,2,13892,16,1,3
RAJASTHAN,ROITS,11214,7178,68,3101,2290,1767,11214,7178,68,3101,2290,1767
SIKKIM,ROITS,3,15,160,76,19,12,3,15,160,76,19,12
TAMIL NADU,ROITS,5196,4252,487,3433,2551,1838,5196,4252,487,3433,2551,1838
TRIPURA,ROITS,138,180,95,148,148,154,138,180,95,148,148,154
UTTAR PRADESH,ROITS,7343,4878,2961,3915,3926,3774,7343,4878,2961,3915,3926,3774
UTTARAKHAND,ROITS,440,342,126,444,433,489,440,342,126,444,433,489
WEST BENGAL,ROITS,3095,2461,2094,2691,2635,2385,3095,2461,2094,2691,2635,2385
A & N ISLANDS,CHEATING,8,11,6072,12,13,15,8,11,6072,12,13,15
ANDHRA PRADESH,CHEATING,5391,6733,48,7928,7909,8363,5391,6733,48,7928,7909,8363
ARUNACHAL PRADESH,CHEATING,30,29,4849,34,28,38,30,29,4849,34,28,38
ASSAM,CHEATING,575,719,167,865,873,905,575,719,167,865,873,905
BIHAR,CHEATING,1659,1811,4016,2764,1829,2171,1659,1811,4016,2764,1829,2171
CHANDIGARH,CHEATING,155,181,557,135,161,232,155,181,557,135,161,232
CHHATTISGARH,CHEATING,402,393,342,424,431,507,402,393,342,424,431,507
D & N HAVELI,CHEATING,12,10,58,22,10,10,12,10,58,22,10,10
DAMAN & DIU,CHEATING,9,10,60,5,3,3,9,10,60,5,3,3
DELHI UT,CHEATING,198,154,23408,156,179,173,198,154,23408,156,179,173
GOA,CHEATING,62,78,370,61,58,55,62,78,370,61,58,55
GUJARAT,CHEATING,1779,1457,5525,1726,1541,1529,1779,1457,5525,1726,1541,1529
HARYANA,CHEATING,1016,933,10124,1089,1204,1424,1016,933,10124,1089,1204,1424
HIMACHAL PRADESH,CHEATING,146,137,1238,174,163,129,146,137,1238,174,163,129
JAMMU & KASHMIR,CHEATING,391,382,4170,414,403,463,391,382,4170,414,403,463
JHARKHAND,CHEATING,554,441,61,441,643,833,554,441,61,441,643,833
KARNATAKA,CHEATING,2678,2764,46,2759,2909,2910,2678,2764,46,2759,2909,2910
KERALA,CHEATING,2756,2924,2035,3755,3261,3316,2756,2924,2035,3755,3261,3316
LAKSHADWEEP,CHEATING,0,0,464,0,0,0,0,0,464,0,0,0
MADHYA PRADESH,CHEATING,1413,1240,19304,1287,1292,1522,1413,1240,19304,1287,1292,1522
MAHARASHTRA,CHEATING,4273,4145,5591,5167,6391,6234,4273,4145,5591,5167,6391,6234
MANIPUR,CHEATING,66,72,627,142,122,82,66,72,627,142,122,82
MEGHALAYA,CHEATING,29,33,1949,44,39,83,29,33,1949,44,39,83
MIZORAM,CHEATING,71,85,4155,20,58,78,71,85,4155,20,58,78
NAGALAND,CHEATING,34,21,14180,28,41,37,34,21,14180,28,41,37
ODISHA,CHEATING,681,793,4891,805,1040,1364,681,793,4891,805,1040,1364
PUDUCHERRY,CHEATING,23,31,8,35,41,29,23,31,8,35,41,29
PUNJAB,CHEATING,2621,2716,20422,2729,2934,3393,2621,2716,20422,2729,2934,3393
RAJASTHAN,CHEATING,6644,7286,37098,8333,8341,10191,6644,7286,37098,8333,8341,10191
SIKKIM,CHEATING,13,48,252,22,44,37,13,48,252,22,44,37
TAMIL NADU,CHEATING,2139,2017,360,2121,2694,2116,2139,2017,360,2121,2694,2116
TRIPURA,CHEATING,17,20,1303,34,59,84,17,20,1303,34,59,84
UTTAR PRADESH,CHEATING,5363,5026,221,4184,4556,5142,5363,5026,221,4184,4556,5142
UTTARAKHAND,CHEATING,318,312,5359,372,396,514,318,312,5359,372,396,514
WEST BENGAL,CHEATING,1216,1315,567,1686,1760,1947,1216,1315,567,1686,1760,1947
A & N ISLANDS,DOWRY DEATHS,0,0,3198,0,0,0,0,0,3198,0,0,0
ANDHRA PRADESH,DOWRY DEATHS,420,449,16456,512,443,519,420,449,16456,512,443,519
ARUNACHAL PRADESH,DOWRY DEATHS,0,0,65,0,0,1,0,0,65,0,0,1
ASSAM,DOWRY DEATHS,59,70,18213,74,99,105,59,70,18213,74,99,105
BIHAR,DOWRY DEATHS,859,927,276,1029,1014,1188,859,927,276,1029,1014,1188
CHANDIGARH,DOWRY DEATHS,3,1,15751,6,3,10,3,1,15751,6,3,10
CHHATTISGARH,DOWRY DEATHS,70,85,1368,71,100,103,70,85,1368,71,100,103
